NO_OF_FRAMES	1756
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:30:20.760	122502.14475260
DATA_INCLUDED	3D
MARKER_NAMES	a	b
TRAJECTORY_TYPES	Measured	Measured
a X	a Y	a Z	b X	b Y	b Z	
-476.925	48.861	397.796	601.695	81.236	401.357
-476.931	48.858	397.771	601.690	81.237	401.341
-476.931	48.851	397.772	601.695	81.236	401.357
-476.924	48.868	397.795	601.695	81.236	401.357
-476.925	48.861	397.796	601.695	81.249	401.356
-476.921	48.864	397.778	601.701	81.240	401.374
-476.921	48.864	397.778	601.700	81.247	401.372
-476.924	48.855	397.796	601.695	81.249	401.356
-476.921	48.850	397.778	601.700	81.234	401.373
-476.921	48.850	397.778	601.700	81.234	401.373
-476.920	48.851	397.777	601.701	81.240	401.374
-476.910	48.837	397.786	601.700	81.234	401.373
-476.907	48.826	397.769	601.701	81.233	401.375
-476.897	48.839	397.775	601.702	81.220	401.375
-476.909	48.830	397.785	601.701	81.233	401.375
-476.900	48.836	397.794	601.692	81.225	401.383
-476.910	48.837	397.786	601.692	81.225	401.383
-476.903	48.827	397.812	601.701	81.227	401.374
-476.887	48.825	397.784	601.692	81.225	401.383
-476.900	48.823	397.795	601.692	81.225	401.383
-476.899	48.830	397.794	601.691	81.232	401.382
-476.890	48.829	397.802	601.692	81.225	401.383
-476.901	48.822	397.796	601.691	81.232	401.382
-476.900	48.836	397.794	601.700	81.234	401.373
-476.901	48.829	397.795	601.686	81.234	401.366
-476.902	48.829	397.797	601.691	81.226	401.381
-476.899	48.838	397.778	601.690	81.233	401.380
-476.908	48.832	397.770	601.690	81.226	401.379
-476.909	48.825	397.772	601.690	81.226	401.379
-476.910	48.839	397.772	601.691	81.226	401.381
-476.900	48.825	397.780	601.685	81.228	401.363
-476.900	48.845	397.779	601.685	81.228	401.363
-476.900	48.845	397.779	601.684	81.235	401.362
-476.900	48.845	397.779	601.684	81.235	401.362
-476.901	48.851	397.779	601.684	81.235	401.362
-476.901	48.845	397.780	601.684	81.228	401.361
-476.899	48.854	397.762	601.684	81.228	401.361
-476.898	48.847	397.762	601.684	81.228	401.361
