NO_OF_FRAMES	1854
NO_OF_CAMERAS	2
NO_OF_MARKERS	3
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 13:55:23.744	131205.09199600
DATA_INCLUDED	3D
MARKER_NAMES	b1	b2	b3
TRAJECTORY_TYPES	Measured	Measured	Measured
b1 X	b1 Y	b1 Z	b2 X	b2 Y	b2 Z	b3 X	b3 Y	b3 Z	
273.151	-168.731	-14.376	293.317	-201.483	-14.368	310.312	-161.083	-14.001
273.151	-168.731	-14.376	293.326	-201.473	-14.354	310.303	-161.074	-13.985
273.151	-168.737	-14.344	293.317	-201.482	-14.368	310.321	-161.082	-13.986
273.152	-168.729	-14.345	293.316	-201.460	-14.368	310.321	-161.082	-13.986
273.160	-168.730	-14.361	293.326	-201.474	-14.353	310.321	-161.082	-13.986
273.160	-168.739	-14.361	293.326	-201.474	-14.353	310.321	-161.082	-13.986
273.152	-168.729	-14.345	293.325	-201.467	-14.352	310.312	-161.083	-14.001
273.152	-168.729	-14.345	293.343	-201.458	-14.355	310.321	-161.074	-13.986
273.161	-168.737	-14.329	293.334	-201.468	-14.369	310.321	-161.082	-13.986
273.152	-168.729	-14.345	293.326	-201.474	-14.353	310.321	-161.082	-13.986
273.151	-168.746	-14.343	293.343	-201.466	-14.354	310.312	-161.089	-13.969
273.161	-168.745	-14.329	293.325	-201.482	-14.352	310.321	-161.098	-13.985
273.161	-168.745	-14.329	293.335	-201.473	-14.338	310.330	-161.089	-13.970
273.161	-168.746	-14.329	293.334	-201.468	-14.369	310.321	-161.096	-13.953
273.161	-168.754	-14.328	293.317	-201.481	-14.335	310.330	-161.105	-13.969
273.161	-168.745	-14.329	293.326	-201.490	-14.352	310.330	-161.105	-13.969
273.161	-168.745	-14.329	293.334	-201.488	-14.337	310.330	-161.105	-13.969
273.170	-168.744	-14.314	293.318	-201.487	-14.336	310.330	-161.105	-13.969
273.161	-168.754	-14.328	293.327	-201.510	-14.320	310.339	-161.112	-13.953
273.161	-168.736	-14.329	293.328	-201.501	-14.322	310.330	-161.097	-13.970
273.161	-168.745	-14.329	293.328	-201.500	-14.322	310.330	-161.097	-13.970
273.161	-168.754	-14.328	293.328	-201.500	-14.322	310.330	-161.105	-13.969
273.161	-168.745	-14.329	293.328	-201.500	-14.322	310.330	-161.105	-13.969
273.170	-168.744	-14.314	293.328	-201.501	-14.322	310.330	-161.105	-13.969
273.161	-168.737	-14.329	293.327	-201.504	-14.353	310.330	-161.088	-13.971
273.169	-168.753	-14.346	293.328	-201.500	-14.322	310.339	-161.096	-13.955
273.169	-168.753	-14.346	293.319	-201.494	-14.337	310.330	-161.089	-13.970
