NO_OF_FRAMES	2011
NO_OF_CAMERAS	2
NO_OF_MARKERS	3
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 13:53:36.434	131097.78224180
DATA_INCLUDED	3D
MARKER_NAMES	a1	a2	a3
TRAJECTORY_TYPES	Measured	Mixed	Measured
a1 X	a1 Y	a1 Z	a2 X	a2 Y	a2 Z	a3 X	a3 Y	a3 Z	
288.687	-160.524	-14.264	315.222	-184.839	-13.878	330.961	-148.474	-13.833
288.678	-160.516	-14.279	315.214	-184.822	-13.863	330.952	-148.474	-13.817
288.678	-160.498	-14.281	315.231	-184.838	-13.863	330.961	-148.473	-13.802
288.687	-160.524	-14.264	315.232	-184.830	-13.864	330.961	-148.481	-13.801
288.687	-160.530	-14.264	315.222	-184.831	-13.878	330.961	-148.465	-13.802
288.687	-160.515	-14.265	315.232	-184.830	-13.864	330.952	-148.466	-13.816
288.687	-160.524	-14.264	315.214	-184.830	-13.862	330.961	-148.473	-13.802
288.696	-160.523	-14.249	315.214	-184.830	-13.862	330.961	-148.465	-13.801
288.696	-160.523	-14.249	315.223	-184.837	-13.847	330.978	-148.473	-13.802
288.696	-160.523	-14.249	315.223	-184.837	-13.847	330.969	-148.472	-13.786
288.696	-160.532	-14.249	315.231	-184.831	-13.862	330.969	-148.466	-13.817
288.696	-160.516	-14.249	315.222	-184.822	-13.847	330.967	-148.421	-13.784
288.704	-160.524	-14.266	315.222	-184.830	-13.846	330.961	-148.465	-13.801
288.687	-160.509	-14.264	315.222	-184.829	-13.846	330.958	-148.422	-13.799
288.696	-160.516	-14.249	315.222	-184.829	-13.846	330.969	-148.466	-13.817
288.687	-160.482	-14.266	315.222	-184.822	-13.847	330.958	-148.414	-13.799
288.696	-160.516	-14.249	315.222	-184.829	-13.846	330.967	-148.429	-13.783
288.686	-160.502	-14.264	315.213	-184.831	-13.861	330.958	-148.422	-13.798
288.696	-160.516	-14.249	315.222	-184.830	-13.846	330.958	-148.414	-13.799
288.695	-160.501	-14.249	315.213	-184.823	-13.861	330.958	-148.414	-13.799
288.687	-160.508	-14.264	315.213	-184.815	-13.861	330.940	-148.406	-13.798
288.677	-160.468	-14.281	315.205	-184.806	-13.846	330.949	-148.407	-13.815
288.694	-160.503	-14.280	315.213	-184.816	-13.861	330.958	-148.414	-13.799
288.677	-160.494	-14.279	315.204	-184.817	-13.876	330.949	-148.407	-13.815
288.685	-160.495	-14.296	315.195	-184.808	-13.861	330.949	-148.406	-13.782
288.677	-160.503	-14.278	315.204	-184.809	-13.877	330.948	-148.400	-13.814
288.685	-160.504	-14.295	315.204	-184.809	-13.877	330.948	-148.408	-13.814
288.668	-160.460	-14.297	315.204	-184.801	-13.878	330.949	-148.399	-13.815
288.677	-160.503	-14.278	315.186	-184.809	-13.876	330.931	-148.399	-13.814
288.677	-160.494	-14.279	315.178	-184.809	-13.892	330.940	-148.400	-13.830
288.668	-160.469	-14.296	315.187	-184.816	-13.876	330.932	-148.407	-13.814
288.668	-160.495	-14.294	315.178	-184.809	-13.892	330.940	-148.414	-13.798
288.668	-160.502	-14.294	315.178	-184.817	-13.891	330.940	-148.399	-13.831
288.668	-160.502	-14.294	315.178	-184.809	-13.892	330.940	-148.416	-13.829
288.668	-160.502	-14.294	315.196	-184.824	-13.893	330.925	-148.445	-13.863
288.659	-160.476	-14.311	315.178	-184.817	-13.891	330.934	-148.467	-13.847
288.659	-160.476	-14.311	315.178	-184.817	-13.891	330.943	-148.467	-13.832
288.660	-160.483	-14.312	315.178	-184.833	-13.891	330.943	-148.466	-13.832
288.678	-160.516	-14.279	315.178	-184.825	-13.891	330.934	-148.483	-13.847
288.669	-160.508	-14.295	315.178	-184.833	-13.891	330.943	-148.490	-13.832
288.678	-160.516	-14.279	315.178	-184.848	-13.891	330.952	-148.497	-13.816
288.659	-160.491	-14.311	315.178	-184.841	-13.890	330.943	-148.490	-13.832
288.669	-160.517	-14.294	315.187	-184.831	-13.876	330.943	-148.483	-13.831
288.677	-160.510	-14.279	315.178	-184.833	-13.891	330.943	-148.490	-13.832
288.669	-160.490	-14.296	315.178	-184.833	-13.891	330.952	-148.481	-13.817
288.669	-160.508	-14.295	315.187	-184.840	-13.875	330.961	-148.482	-13.833
288.687	-160.515	-14.265	315.188	-184.847	-13.876	330.952	-148.489	-13.816
288.669	-160.515	-14.263	315.170	-184.831	-13.875	330.961	-148.488	-13.801
288.678	-160.507	-14.280	315.169	-184.840	-13.874	330.952	-148.489	-13.816
288.677	-160.483	-14.281	315.187	-184.840	-13.875	330.952	-148.482	-13.816
288.677	-160.510	-14.279	315.187	-184.840	-13.875	330.952	-148.482	-13.816
288.677	-160.510	-14.279	315.187	-184.840	-13.875	330.961	-148.489	-13.800
288.677	-160.518	-14.278	315.170	-184.831	-13.875	330.952	-148.481	-13.816
288.677	-160.510	-14.279	315.178	-184.846	-13.858	330.961	-148.489	-13.800
288.677	-160.510	-14.279	315.178	-184.839	-13.858	330.961	-148.497	-13.800
288.677	-160.512	-14.278	315.178	-184.847	-13.857	330.940	-148.446	-13.796
288.677	-160.512	-14.278	315.169	-184.857	-13.872	330.961	-148.505	-13.799
288.677	-160.512	-14.278	315.168	-184.865	-13.871	330.951	-148.499	-13.814
288.677	-160.521	-14.277	315.168	-184.865	-13.871	330.960	-148.498	-13.799
288.677	-160.521	-14.277	315.168	-184.865	-13.871	330.941	-148.461	-13.796
288.677	-160.521	-14.277	315.168	-184.865	-13.871	330.940	-148.454	-13.796
288.677	-160.512	-14.278	315.168	-184.873	-13.870	330.940	-148.462	-13.795
288.677	-160.530	-14.276	315.168	-184.865	-13.871	330.960	-148.514	-13.798
288.677	-160.530	-14.276	315.169	-184.872	-13.871	330.952	-148.514	-13.814
288.677	-160.521	-14.277	315.168	-184.873	-13.870	330.958	-148.470	-13.796
288.677	-160.512	-14.278	315.168	-184.865	-13.871	330.952	-148.506	-13.814
288.669	-160.517	-14.262	315.169	-184.872	-13.871	330.952	-148.498	-13.815
288.668	-160.484	-14.296	315.160	-184.865	-13.887	330.952	-148.513	-13.815
288.677	-160.512	-14.278	315.169	-184.872	-13.871	330.961	-148.497	-13.800
288.677	-160.510	-14.279	315.178	-184.863	-13.857	330.952	-148.505	-13.815
288.669	-160.509	-14.262	315.160	-184.849	-13.888	330.961	-148.512	-13.800
288.669	-160.509	-14.262	315.152	-184.856	-13.871	330.952	-148.505	-13.815
288.669	-160.500	-14.263	315.161	-184.855	-13.856	330.952	-148.505	-13.815
288.669	-160.509	-14.262	315.152	-184.848	-13.872	330.961	-148.496	-13.801
288.660	-160.459	-14.280	315.152	-184.840	-13.873	330.952	-148.497	-13.816
288.668	-160.502	-14.294	315.151	-184.834	-13.904	330.943	-148.498	-13.831
288.651	-160.475	-14.295	315.152	-184.840	-13.873	330.952	-148.505	-13.815
288.668	-160.502	-14.294	315.143	-184.841	-13.888	330.943	-148.498	-13.831
288.659	-160.485	-14.311	315.143	-184.841	-13.888	330.943	-148.506	-13.830
288.659	-160.470	-14.311	315.143	-184.856	-13.887	330.943	-148.498	-13.831
288.641	-160.470	-14.309	315.134	-184.842	-13.902	330.934	-148.499	-13.846
288.651	-160.502	-14.293	315.134	-184.850	-13.902	330.943	-148.506	-13.830
288.649	-160.471	-14.326	315.125	-184.843	-13.917	330.934	-148.498	-13.814
288.640	-160.472	-14.340	315.124	-184.851	-13.917	330.934	-148.499	-13.846
288.632	-160.477	-14.324	315.116	-184.836	-13.933	330.925	-148.500	-13.861
288.632	-160.471	-14.324	315.125	-184.843	-13.917	330.934	-148.499	-13.846
