NO_OF_FRAMES	2126
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:11:39.923	117781.31538340
DATA_INCLUDED	3D
MARKER_NAMES	a	b
TRAJECTORY_TYPES	Measured	Measured
a X	a Y	a Z	b X	b Y	b Z	
-509.631	49.078	397.816	592.639	80.412	401.266
-509.640	49.079	397.808	592.643	80.415	401.241
-509.641	49.072	397.810	592.643	80.415	401.241
-509.644	49.069	397.828	592.645	80.408	401.245
-509.640	49.086	397.807	592.634	80.414	401.250
-509.640	49.065	397.809	592.639	80.412	401.266
-509.641	49.043	397.828	592.634	80.414	401.250
-509.641	49.056	397.826	592.629	80.409	401.236
-509.651	49.057	397.819	592.644	80.415	401.243
-509.648	49.073	397.798	592.644	80.415	401.243
-509.641	49.056	397.826	592.634	80.420	401.251
-509.635	49.082	397.786	592.641	80.405	401.269
-509.638	49.079	397.805	592.645	80.428	401.245
-509.640	49.050	397.825	592.635	80.414	401.252
-509.637	49.073	397.805	592.634	80.427	401.252
-509.639	49.073	397.806	592.640	80.432	401.269
-509.637	49.073	397.805	592.634	80.427	401.252
-509.636	49.075	397.787	592.635	80.414	401.252
-509.638	49.079	397.805	592.640	80.418	401.269
-509.637	49.080	397.804	592.639	80.425	401.268
-509.652	49.070	397.819	592.634	80.427	401.252
-509.641	49.063	397.825	592.633	80.434	401.251
-509.639	49.093	397.805	592.634	80.440	401.251
-509.638	49.079	397.805	592.639	80.432	401.267
-509.642	49.090	397.823	592.634	80.427	401.252
-509.641	49.099	397.807	592.639	80.432	401.267
-509.642	49.076	397.826	592.633	80.434	401.251
-509.641	49.072	397.810	592.639	80.425	401.268
-509.632	49.063	397.834	592.633	80.434	401.251
-509.643	49.083	397.826	592.635	80.420	401.253
-509.640	49.086	397.807	592.643	80.428	401.243
-509.639	49.079	397.807	592.635	80.420	401.253
-509.640	49.093	397.806	592.635	80.420	401.253
-509.640	49.093	397.806	592.640	80.432	401.269
-509.653	49.090	397.819	592.645	80.428	401.245
-509.641	49.106	397.805	592.638	80.437	401.228
-509.641	49.106	397.805	592.645	80.428	401.245
-509.651	49.113	397.798	592.644	80.435	401.244
-509.642	49.126	397.805	592.644	80.435	401.244
-509.642	49.126	397.805	592.634	80.440	401.251
-509.643	49.126	397.807	592.644	80.435	401.244
-509.643	49.140	397.805	592.643	80.442	401.242
-509.633	49.139	397.813	592.643	80.442	401.242
-509.644	49.139	397.806	592.643	80.442	401.242
-509.634	49.139	397.814	592.641	80.462	401.241
-509.646	49.143	397.824	592.642	80.455	401.242
-509.654	49.153	397.798	592.643	80.442	401.242
-509.643	49.160	397.803	592.643	80.442	401.242
-509.644	49.153	397.806	592.643	80.442	401.242
-509.635	49.152	397.814	592.642	80.449	401.241
-509.634	49.159	397.811	592.644	80.441	401.245
-509.634	49.146	397.813	592.639	80.445	401.268
-509.637	49.150	397.831	592.645	80.428	401.245
-509.634	49.152	397.812	592.644	80.441	401.245
-509.634	49.152	397.812	592.644	80.435	401.244
-509.644	49.153	397.806	592.648	80.440	401.258
-509.634	49.152	397.812	592.643	80.442	401.242
-509.634	49.139	397.814	592.649	80.433	401.260
-509.637	49.143	397.832	592.649	80.433	401.260
-509.624	49.152	397.820	592.649	80.433	401.260
-509.628	49.142	397.840	592.649	80.433	401.260
-509.637	49.143	397.832	592.633	80.434	401.251
-509.634	49.139	397.814	592.647	80.440	401.256
-509.623	49.118	397.823	592.643	80.442	401.242
-509.634	49.125	397.815	592.648	80.440	401.258
-509.633	49.119	397.815	592.643	80.442	401.242
-509.633	49.126	397.813	592.643	80.442	401.242
-509.633	49.132	397.814	592.643	80.448	401.243
-509.633	49.119	397.815	592.642	80.449	401.241
-509.633	49.119	397.815	592.643	80.442	401.242
-509.633	49.126	397.813	592.642	80.455	401.242
-509.632	49.112	397.814	592.643	80.448	401.243
-509.632	49.112	397.814	592.643	80.448	401.243
-509.632	49.112	397.814	592.643	80.448	401.243
-509.634	49.103	397.833	592.643	80.448	401.243
-509.632	49.119	397.813	592.642	80.462	401.243
-509.631	49.112	397.812	592.643	80.455	401.244
-509.630	49.099	397.813	592.642	80.455	401.242
-509.631	49.099	397.815	592.643	80.455	401.244
-509.624	49.089	397.841	592.643	80.455	401.244
-509.635	49.116	397.832	592.643	80.448	401.243
-509.621	49.098	397.821	592.648	80.453	401.260
-509.631	49.106	397.814	592.649	80.459	401.261
-509.619	49.108	397.803	592.642	80.462	401.243
-509.623	49.112	397.822	592.651	80.476	401.233
-509.623	49.105	397.823	592.647	80.467	401.258
-509.633	49.119	397.815	592.641	80.468	401.242
-509.623	49.105	397.823	592.655	80.481	401.248
-509.623	49.118	397.823	592.648	80.466	401.260
-509.626	49.115	397.842	592.646	80.480	401.257
-509.625	49.138	397.822	592.647	80.480	401.259
-509.611	49.148	397.809	592.641	80.488	401.242
-509.614	49.145	397.828	592.641	80.488	401.242
-509.603	49.160	397.818	592.640	80.495	401.241
