NO_OF_FRAMES	1717
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:09:02.604	117623.99684550
DATA_INCLUDED	3D
MARKER_NAMES	a
TRAJECTORY_TYPES	Measured
a X	a Y	a Z	
-386.378	52.682	397.618
-385.425	52.698	397.628
-384.471	52.701	397.639
-383.471	52.705	397.607
-382.461	52.716	397.628
-381.442	52.725	397.617
-380.377	52.764	397.604
-379.313	52.789	397.596
-378.223	52.796	397.630
-377.126	52.804	397.604
-375.983	52.842	397.578
-374.828	52.887	397.603
-373.648	52.921	397.616
-372.460	52.980	397.653
-371.246	53.034	397.632
-370.006	53.069	397.612
-368.761	53.094	397.622
-367.470	53.127	397.634
-366.164	53.168	397.595
-364.850	53.214	397.567
-363.519	53.257	397.575
-362.161	53.310	397.568
-360.776	53.341	397.577
-359.371	53.394	397.589
-357.939	53.437	397.631
-356.505	53.492	397.631
-355.034	53.530	397.628
-353.546	53.549	397.617
-352.028	53.598	397.590
-350.489	53.669	397.567
-348.934	53.728	397.581
-347.373	53.804	397.578
-345.789	53.837	397.596
-344.184	53.877	397.620
-342.540	53.919	397.595
-340.893	53.964	397.601
-339.206	54.028	397.571
-337.480	54.088	397.537
-335.760	54.139	397.524
-334.020	54.208	397.531
-332.262	54.261	397.562
-330.485	54.296	397.586
-328.670	54.326	397.606
-326.820	54.394	397.554
-324.981	54.464	397.540
-323.093	54.547	397.543
-321.208	54.598	397.526
-319.255	54.619	397.564
-317.360	54.679	397.591
-315.364	54.748	397.584
-313.393	54.798	397.552
-311.362	54.894	397.561
-309.338	54.976	397.565
-307.328	55.054	397.539
-305.236	55.060	397.577
-303.146	55.124	397.590
-301.045	55.238	397.530
-298.906	55.336	397.554
-296.739	55.411	397.556
-294.573	55.493	397.550
-292.394	55.563	397.543
-290.201	55.673	397.546
-287.979	55.759	397.528
-285.727	55.859	397.568
-283.449	55.954	397.561
-281.165	56.014	397.558
-278.852	56.081	397.561
-276.540	56.208	397.566
-274.217	56.327	397.586
-271.856	56.413	397.570
-269.500	56.494	397.520
-267.122	56.601	397.547
-264.743	56.745	397.550
-262.352	56.853	397.570
-259.915	56.917	397.577
-257.477	57.040	397.547
-255.055	57.189	397.569
-252.626	57.315	397.623
-250.181	57.401	397.610
-247.715	57.538	397.579
-245.284	57.676	397.583
-242.849	57.787	397.634
-240.377	57.881	397.621
-237.916	58.008	397.605
-235.466	58.140	397.600
-233.021	58.230	397.659
-230.567	58.329	397.639
-228.117	58.428	397.628
-225.672	58.546	397.611
-223.252	58.622	397.653
-220.822	58.657	397.697
-218.394	58.768	397.680
-215.974	58.848	397.633
-213.537	58.900	397.640
-211.132	58.985	397.651
-208.742	59.020	397.676
-206.342	59.026	397.704
-203.953	59.093	397.687
-201.570	59.146	397.666
-199.216	59.170	397.636
-196.851	59.232	397.647
-194.494	59.288	397.640
-192.123	59.266	397.662
-189.772	59.316	397.696
-187.425	59.365	397.684
-185.094	59.388	397.645
-182.756	59.437	397.674
-180.400	59.456	397.690
-178.044	59.453	397.699
-175.707	59.479	397.694
-173.368	59.534	397.680
-171.034	59.555	397.648
-168.684	59.629	397.693
-166.348	59.646	397.750
-164.014	59.614	397.712
-161.667	59.672	397.658
-159.309	59.700	397.685
-156.948	59.692	397.731
-154.637	59.761	397.733
-152.317	59.822	397.749
-149.952	59.796	397.773
-147.598	59.843	397.752
-145.266	59.877	397.705
-142.917	59.873	397.698
-140.562	59.933	397.732
-138.226	59.995	397.791
-135.898	59.991	397.769
-133.550	60.041	397.770
-131.174	60.093	397.757
-128.830	60.091	397.722
-126.515	60.157	397.737
-124.177	60.224	397.802
-121.842	60.233	397.837
-119.524	60.273	397.779
-117.161	60.329	397.777
-114.801	60.357	397.770
-112.485	60.398	397.756
-110.163	60.482	397.832
-107.825	60.519	397.861
-105.512	60.556	397.813
-103.141	60.632	397.803
-100.820	60.698	397.801
-98.501	60.743	397.794
-96.160	60.803	397.848
-93.857	60.881	397.841
-91.521	60.955	397.832
-89.168	61.006	397.837
-86.869	61.084	397.835
-84.540	61.166	397.856
-82.198	61.223	397.868
-79.881	61.298	397.828
-77.533	61.393	397.861
-75.234	61.486	397.835
-72.908	61.552	397.872
-70.587	61.621	397.879
-68.291	61.728	397.844
-65.947	61.854	397.892
-63.661	61.911	397.873
-61.307	61.978	397.893
-59.027	62.086	397.897
-56.694	62.216	397.907
-54.390	62.301	397.929
