NO_OF_FRAMES	1844
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:08:10.435	117571.82842120
DATA_INCLUDED	3D
MARKER_NAMES	b
TRAJECTORY_TYPES	Measured
b X	b Y	b Z	
-538.981	50.209	397.039
-538.980	50.212	397.022
-538.973	50.202	397.050
-538.980	50.212	397.022
-538.962	50.208	397.055
-538.971	50.191	397.033
-538.980	50.218	397.022
-538.983	50.209	397.043
-538.979	50.221	397.005
-538.974	50.208	397.051
-538.974	50.229	397.049
-538.975	50.242	397.048
-538.974	50.242	397.047
-538.975	50.248	397.049
-538.972	50.272	397.026
-538.975	50.276	397.044
-538.973	50.265	397.027
-538.964	50.278	397.034
-538.983	50.299	397.017
-538.982	50.301	397.001
-538.971	50.322	397.003
-538.986	50.298	397.022
-538.978	50.288	397.048
-538.993	50.336	396.990
-538.980	50.336	397.045
-538.986	50.339	397.016
-538.975	50.341	397.007
-538.988	50.366	397.017
-538.998	50.366	397.010
-538.995	50.380	397.057
-538.992	50.376	397.037
-538.981	50.385	397.026
-538.980	50.392	397.023
-538.982	50.412	397.025
-538.992	50.412	397.017
-538.992	50.419	397.017
-538.983	50.418	397.025
-538.983	50.447	397.006
-538.975	50.465	397.030
-538.983	50.454	397.007
-538.979	50.462	397.051
-538.986	50.471	397.024
-538.985	50.479	397.021
-538.985	50.481	397.005
-538.974	50.481	397.012
-538.994	50.502	396.996
-538.985	50.494	397.005
-539.000	50.509	397.034
-539.010	50.503	397.027
-539.029	50.524	397.009
-539.047	50.530	397.060
-539.061	50.536	397.006
-539.069	50.521	397.065
-539.089	50.549	397.048
-539.113	50.544	397.070
-539.134	50.542	397.074
-539.166	50.548	397.070
-539.188	50.559	397.074
-539.222	50.555	397.089
-539.250	50.556	397.065
-539.284	50.559	397.081
-539.316	50.557	397.078
-539.336	50.549	397.081
-539.363	50.544	397.057
-539.416	50.547	397.056
-539.446	50.532	397.052
-539.492	50.539	397.078
-539.520	50.520	397.056
-539.554	50.521	397.087
-539.612	50.516	397.042
-539.643	50.506	397.055
-539.690	50.499	397.083
-539.738	50.493	397.062
-539.785	50.495	397.022
-539.838	50.471	397.025
-539.880	50.461	397.033
-539.945	50.442	397.046
