d,a_omega,a_v,a_p,a_l,a_t,a_acc,b_omega,b_v,b_p,b_l,b_t,b_acc
0.8543753056402595,12.249366879113746,[-0.14572154 -0.43073539],[-0.00410719 -0.01214036],0.00010789089230037402,0.0035783291852651755,[-0.00088456  0.00089933],11.2491884480106,[ 0.25638525 -0.26468153],[ 0.00736497 -0.00760329],0.00010098326162351316,0.002524364132094856,[ 0.0004434  -0.00048317]
0.5489579998330731,5.66793470655464,[-0.07649468 -0.25452517],[-0.0021974  -0.00731154],5.0880695614821855e-05,0.0011670901630940966,[-0.00045157  0.00096097],8.428962576753662,[ 0.35235497 -0.38205434],[ 0.0099312  -0.01076828],7.424124875572419e-05,0.004123133577394164,[ 0.00036346 -0.00032944]
0.45389691055418235,9.587708279345959,[-0.00221507 -0.41118214],[-6.36304239e-05 -1.18117005e-02],8.60682579919212e-05,0.0028463894997152934,[-0.00275832  0.00162094],5.667910522758034,[ 0.62483383 -0.33691905],[ 0.01761107 -0.00949613],4.9922247395637424e-05,0.007313822766213683,[ 0.00054752 -0.000937  ]
0.672196498863874,9.695037975125782,[-0.0033887  -0.35722339],[-9.55112975e-05 -1.00684128e-02],8.539268260516103e-05,0.0022156585949083727,[-0.00072293  0.00044592],9.344799714871844,[ 0.43628106 -0.2083307 ],[ 0.0125327  -0.00598455],8.388768299042236e-05,0.00375449750182587,[ 0.00030649 -0.0001741 ]
0.1604427335842587,-0.849222288670529,[ 0.13330058 -0.09121827],[ 0.00382922 -0.00262035],-7.623415409002298e-06,0.0003804540669157596,[-0.00102657  0.00203333],-2.9521437462151545,[ 0.24906918 -0.51107756],[ 0.00702006 -0.01440482],-2.6002113098694807e-05,0.004787473524897472,[-0.00035511  0.00144564]
0.06667129806508988,2.0255424299021216,[-0.02991646 -0.08642614],[-0.00085939 -0.00248269],1.818316779682948e-05,0.00014079708906898476,[-0.00027126  0.00096153],-1.376833011172424,[ 0.1617495  -0.48407205],[ 0.00455894 -0.01364367],-1.2126973058280318e-05,0.003682193313008208,[ 0.00016541 -0.00083913]
0.9226927641553689,9.446927632963012,[-0.15547169 -0.2285381 ],[-0.00446611 -0.00656503],8.480447892813189e-05,0.0015011040171507713,[-0.00013674  0.00051515],3.4678524421924153,[ 0.05901468 -0.09879605],[ 0.00166334 -0.00278459],3.054441082927554e-05,0.00024886003400319284,[-0.00019904  0.00032453]
0.6729944582829148,10.659570570063078,[-0.09735601 -0.36949004],[-0.00279667 -0.01061404],9.569029878429566e-05,0.002610158965804554,[-0.00054738  0.00052643],7.735559434211315,[ 0.35326938 -0.30025776],[ 0.00995697 -0.00846283],6.8133840551604e-05,0.003316756640505885,[-4.79879002e-04 -4.30172513e-05]
0.5196285618599087,5.7645168238539926,[-0.11425778 -0.22266782],[-0.00328219 -0.0063964 ],5.1747707245435804e-05,0.0010566694760686275,[-0.00087838  0.00176999],5.678035442948384,[ 0.26737755 -0.37370707],[ 0.00753609 -0.01053301],5.0011426427059e-05,0.0031409232637394677,[ 0.00012165 -0.00043611]
0.6929785973359348,9.859083186601541,[-0.15754053 -0.38028465],[-0.00452554 -0.01092413],8.850437357342288e-05,0.0028738951353374496,[-0.00144452  0.00171787],9.548966845899445,[ 0.33233233 -0.37943576],[ 0.00936685 -0.01069447],8.410610635782661e-05,0.00401181297077644,[ 0.00038841 -0.0012436 ]
0.6389799598485942,10.54431306373371,[-0.06346284 -0.34409733],[-0.00182305 -0.00988461],9.465563935357106e-05,0.0022610444147882305,[-0.00110628  0.00072213],6.599285276718007,[ 0.38066363 -0.2368441 ],[ 0.01072908 -0.0066755 ],5.812567980667262e-05,0.0030390456393914827,[ 0.00012878 -0.00015167]
0.9414600454554282,16.07700874340065,[-0.14088821 -0.6308258 ],[-0.00404718 -0.01812123],0.00014432230267646118,0.0071787001920202145,[-0.00093147  0.00176201],14.228903405316242,[ 0.25715093 -0.25699074],[ 0.00724785 -0.00724334],0.00012532640258109984,0.002760231704189213,[ 0.00036643 -0.000537  ]
0.9985497299923747,6.830168309465581,[-0.08386072 -0.44494451],[-0.002409   -0.01278156],6.131399402855317e-05,0.0031613350080768217,[-0.00048266  0.00087348],6.7460995712849225,[ 0.10533488 -0.10558076],[ 0.00296888 -0.00297581],5.941880176143122e-05,0.000521596630121087,[-1.46555190e-04 -6.38066106e-05]
0.8840184176682353,10.35297797184346,[-0.18280607 -0.47352243],[-0.00525132 -0.0136025 ],9.293803619211552e-05,0.004184852012367623,[-0.00030192  0.00086159],13.60490338160382,[ 0.2166515  -0.31267954],[ 0.00610637 -0.00881294],0.00011983028837224379,0.0028668109395105627,[-0.00037147 -0.00019843]
0.18178523543029765,0.7833202325037121,[-0.0430555  -0.17563055],[-0.00121353 -0.00495018],6.899386692863634e-06,0.00046508753680073026,[-0.00068569  0.00206768],6.855045452237246,[ 0.15946803 -0.55453166],[ 0.00458091 -0.01592959],6.1537314584393e-05,0.005170277545637459,[-0.0009698   0.00088747]
