d,a_omega,a_v,a_p,a_l,a_t,a_acc,b_omega,b_v,b_p,b_l,b_t,b_acc
0.2014616455753123,3.040007810856391,[ 0.08503275 -0.49042268],[ 0.00244267 -0.01408798],2.728996011756965e-05,0.0036812051039235454,[-0.00084095  0.00266834],-0.002715706323587096,[-2.01203577e-05  2.34148469e-05],[-5.67096305e-07  6.59952141e-07],-2.39196018348647e-08,1.066967308798039e-07,[ 7.48317549e-05 -2.22676597e-04]
0.26936197455295063,-4.832778765873031,[ 0.15915748 -0.61360963],[ 0.00448589 -0.01729471],-4.256651127246394e-05,0.005812200979493669,[-0.00068871  0.00232469],-0.007449322301059018,[-5.29757806e-06 -9.37503101e-05],[-1.52179287e-07 -2.69309016e-06],-6.687210071396301e-08,1.84944420222657e-07,[ 0.00011614 -0.00029227]
0.2713217705027855,9.529497554522298,[ 0.04264927 -0.86839817],[ 0.00122515 -0.02494578],8.55457039533495e-05,0.011274127259220449,[-0.00044362  0.00144847],-0.001056776599041368,[-3.05528411e-05  8.31387033e-05],[-8.61137937e-07  2.34328098e-06],-9.30795618728148e-09,9.114031717975398e-08,[ 0.00021352 -0.00063779]
0.36110166083234213,1.8742301367554794,[ 0.11316182 -0.68596407],[ 0.00318949 -0.01933403],1.650798476577517e-05,0.009292201921115418,[ 0.00148955 -0.00960815],0.00026679498027650254,[-2.15193018e-05  3.30705962e-05],[-6.18167768e-07  9.49992559e-07],2.395001863255907e-09,7.935403717157244e-08,[ 7.75720291e-05 -1.14953875e-04]
0.35284430522836174,1.4696988846402148,[ 0.00202912 -0.57858925],[ 5.71911291e-05 -1.63076537e-02],1.2944924063550433e-05,0.0047483882936212194,[-0.00012432  0.00117141],0.00205496764348435,[ 1.48757792e-05 -9.74908220e-05],[ 4.27324609e-07 -2.80054085e-06],1.844731610008129e-08,1.0708216493302495e-07,[ 5.15746146e-06 -1.19049734e-04]
0.7418333868553517,-0.43024886589606315,[-0.02780656 -0.33065046],[-0.00079878 -0.00949833],-3.8623171785948404e-06,0.0016107593717649205,[1.47798602e-05 1.29577976e-03],0.0029231683016922414,[-2.81093030e-05  1.57426195e-04],[-7.92266326e-07  4.43708880e-06],2.574690100526755e-08,1.1279558509701741e-07,[ 2.77941119e-05 -1.46406240e-05]
0.17482918914370774,4.308307345838562,[ 0.07937723 -0.48517783],[ 0.00228021 -0.01393732],3.867540577438366e-05,0.003558854824076742,[-0.00035701  0.00047463],-0.0014700906829802534,[2.28252707e-05 1.33618635e-04],[6.43334821e-07 3.76606796e-06],-1.2948374974354698e-08,1.1168755131776741e-07,[ 0.00012252 -0.00018411]
0.4368260874120328,0.8763732182839639,[ 0.16798771 -0.5766855 ],[ 0.00482565 -0.01656598],7.867147607209e-06,0.009272358656947095,[ 0.00292922 -0.0100368 ],0.0004991603668943322,[-1.17814063e-05  9.18913692e-05],[-3.32061293e-07  2.58997662e-06],4.396542116559401e-09,1.1046660804238712e-07,[ 0.0002594  -0.00038112]
0.8023768916833635,-2.4251074110426996,[-0.07132926 -0.79897161],[-0.00201043 -0.02251917],-2.136004293803772e-05,0.009166215560903298,[0.00018143 0.0020255 ],0.001016141485697044,[-1.83506278e-05 -9.16332137e-06],[-5.27143805e-07 -2.63227402e-07],9.121838608259503e-09,8.72781530889883e-08,[-1.44806194e-05  1.59568640e-05]
0.8536503275974708,-4.159934011736087,[-0.05986451 -0.75366677],[-0.00171968 -0.02164998],-3.734346762747913e-05,0.008295735081859797,[-6.62925445e-05  7.27366194e-04],-0.007541373553257709,[5.48871978e-05 2.10950587e-04],[1.54700665e-06 5.94568447e-06],-6.642347558539973e-08,1.5176679412067157e-07,[-1.40292338e-05 -3.77804195e-06]
0.8492686548757977,4.835324426556339,[-0.01112275 -0.49547167],[-0.00031951 -0.01423302],4.34064051694196e-05,0.003655839998712454,[-0.00014771  0.00115353],-0.0013898903850253182,[7.15731385e-06 6.72606751e-05],[2.01730322e-07 1.89575558e-06],-1.224198077500489e-08,1.6054089896548151e-07,[ 9.76131512e-06 -3.95792143e-05]
0.15468179886541958,5.787341606643505,[ 0.04435067 -0.52137987],[ 0.00125003 -0.0146952 ],5.097418145361517e-05,0.004032661765028096,[-0.00047527  0.00171606],-0.0007933439645454532,[-4.07743138e-05  1.59191368e-04],[-1.17129109e-06  4.57296308e-06],-7.121799185726752e-09,9.38059581073532e-08,[ 0.00012922 -0.00046011]
0.8258362392106857,2.429283579720607,[-0.0518621  -0.63057551],[-0.00146174 -0.0177729 ],2.1396826109731647e-05,0.005679627040971705,[-3.68303512e-05  9.54689531e-04],0.003032508026969433,[ 1.35510303e-05 -1.75391261e-05],[ 3.89269607e-07 -5.03832445e-07],2.7222635026352927e-08,1.1043519981155243e-07,[ 5.94765424e-05 -8.66810903e-05]
0.6671197079108513,-3.3795744552937634,[ 0.06601964 -0.83865365],[ 0.00189649 -0.02409133],-3.033822866176866e-05,0.010225376707933054,[-0.00017455  0.00101599],0.0034717188918434814,[ 4.13330298e-05 -2.37457072e-04],[ 1.16497971e-06 -6.69277506e-06],3.057846603449594e-08,1.5921502549044605e-07,[ 0.00015001 -0.00029254]
0.4590009824514327,-2.814683708685306,[-0.00594168 -0.4093516 ],[-0.00016747 -0.01153766],-2.47913822706366e-05,0.002408580313517609,[0.00012443 0.00091137],-0.0010763853099345988,[-3.60710594e-05  1.59875447e-05],[-1.03618447e-06  4.59261407e-07],-9.66264365320104e-09,1.0409785921669627e-07,[ 9.58245576e-06 -4.26680112e-05]
0.6286216012187282,-0.11662255411254935,[ 0.01167044 -0.75124126],[ 0.00032893 -0.02117389],-1.027196878804071e-06,0.009735795860976542,[ 3.9980830e-05 -8.8696285e-03],-0.0015041967740662726,[-6.02397886e-06 -5.38220621e-06],[-1.73046021e-07 -1.54610332e-07],-1.3503080428494557e-08,1.0602510266350155e-07,[ 0.00016791 -0.00023717]
0.7260835986274912,-6.679933294507796,[ 0.16595748 -0.50549027],[ 0.00476733 -0.01452081],-5.9965343688965585e-05,0.0042880835106942515,[-0.00035378  0.0014604 ],-0.0018608088544901141,[-4.42823407e-05 -2.03983974e-05],[-1.24810663e-06 -5.74932911e-07],-1.6389771789242102e-08,3.142185382589312e-07,[ 0.00018299 -0.00015305]
0.6353911498686521,-4.863954638801985,[ 0.02716968 -0.65020794],[ 0.00076578 -0.01832624],-4.2841104464238047e-05,0.007679781389037744,[ 0.00023592 -0.00704355],0.013793044441036028,[ 0.00019096 -0.00055163],[ 5.48569138e-06 -1.58461185e-05],1.2381929788190286e-07,1.1274717100339064e-07,[ 6.79173933e-05 -1.18168017e-04]
0.8115846858827406,-0.3599531385209605,[ 0.01428343 -0.49121466],[ 0.00040258 -0.01384498],-3.170422249950306e-06,0.00576907967260029,[ 5.38098341e-05 -8.09497416e-03],0.0015126619592935866,[-0.00010057 -0.00015205],[-2.88885687e-06 -4.36783298e-06],1.3579071867206082e-08,1.0912908447634026e-07,[ 0.00030114 -0.00036301]
